

Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2021.86,3391.8420,1.0000,1.0000,-45.011,-0.182

Date/Time:,26-Aug-11 11:11:16 PM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad0 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2020.60,3379.4710,1.0000,1.0000,-45.007,-0.180

Date/Time:,26-Aug-11 10:59:17 PM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad0 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2018.26,3386.4967,1.0000,1.0000,-45.006,-0.170

Date/Time:,26-Aug-11 10:47:21 PM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad0 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2028.86,3434.3495,1.0000,1.0000,-45.006,-0.170

Date/Time:,26-Aug-11 10:35:22 PM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad0 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2020.89,3398.6435,1.0000,1.0000,-45.002,-0.169

Date/Time:,26-Aug-11 10:23:25 PM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad0 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2018.95,3377.4223,1.0000,1.0000,-45.006,-0.166

Date/Time:,26-Aug-11 10:11:25 PM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad0 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2016.45,3360.5830,1.0000,1.0000,-45.006,-0.173

Date/Time:,26-Aug-11 09:59:27 PM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad0 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2022.49,3501.6932,1.0000,1.0000,-45.003,-0.168

Date/Time:,26-Aug-11 09:47:28 PM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad0 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2019.59,3383.5897,1.0000,1.0000,-45.002,-0.162

Date/Time:,26-Aug-11 09:35:32 PM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad0 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2015.11,3369.5354,1.0000,1.0000,-45.001,-0.166

Date/Time:,26-Aug-11 09:23:32 PM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad0 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2029.19,3431.9341,1.0000,1.0000,-45.003,-0.165

Date/Time:,26-Aug-11 09:11:36 PM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad0 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2023.19,3404.0847,1.0000,1.0000,-45.001,-0.158

Date/Time:,26-Aug-11 08:59:37 PM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad0 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2018.68,3386.0933,1.0000,1.0000,-44.998,-0.157

