,1 (LAMPEXP),2018.81,3391.5547,1,1,-45.012,-0.185
,,,,,,,
Date/Time:,8/26/2011 23:47,,,,,,
Film name:,SQC Acq-SR OCD VIS,,,,,,
Stage group:,4X Pad0 Vis,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2026.95,3421.8281,1,1,-45.013,-0.182
,,,,,,,
Date/Time:,8/26/2011 23:35,,,,,,
Film name:,SQC Acq-SR OCD VIS,,,,,,
Stage group:,4X Pad0 Vis,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2012.87,3351.4438,1,1,-45.012,-0.181
,,,,,,,
Date/Time:,8/26/2011 23:23,,,,,,
Film name:,SQC Acq-SR OCD VIS,,,,,,
Stage group:,4X Pad0 Vis,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2021.86,3391.842,1,1,-45.011,-0.182
,,,,,,,
Date/Time:,8/26/2011 23:11,,,,,,
Film name:,SQC Acq-SR OCD VIS,,,,,,
Stage group:,4X Pad0 Vis,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2020.6,3379.471,1,1,-45.007,-0.18
,,,,,,,
Date/Time:,8/26/2011 22:59,,,,,,
Film name:,SQC Acq-SR OCD VIS,,,,,,
Stage group:,4X Pad0 Vis,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2018.26,3386.4967,1,1,-45.006,-0.17
,,,,,,,
Date/Time:,8/26/2011 22:47,,,,,,
Film name:,SQC Acq-SR OCD VIS,,,,,,
Stage group:,4X Pad0 Vis,,,,,,
